Saison;DateMatch;Journee;adversaire;lieu;joueur;Titulaire;Minutes;Buts;CartonJaune;CartonRouge
2021/22;2022-02-11;Phase de poules;Sagrada Esperan�a;Domicile;A. El Hassouni;Tit.;82;;;
2021/22;2022-02-11;Phase de poules;Sagrada Esperan�a;Domicile;Y. Jabrane;Tit.;90;1;1;
2021/22;2022-02-11;Phase de poules;Sagrada Esperan�a;Domicile;A. Haimoud;Tit.;76;;;
2021/22;2022-02-11;Phase de poules;Sagrada Esperan�a;Domicile;R. Jaadi;Tit.;82;;;
2021/22;2022-02-11;Phase de poules;Sagrada Esperan�a;Domicile;G. Mbenza;Tit.;76;1;;
2021/22;2022-02-11;Phase de poules;Sagrada Esperan�a;Domicile;M. Ellafi;Tit.;68;;;
2021/22;2022-02-11;Phase de poules;Sagrada Esperan�a;Domicile;A. Serrhat;Remp.;8;;;
2021/22;2022-02-11;Phase de poules;Sagrada Esperan�a;Domicile;B. Aouk;Remp.;14;;;
2021/22;2022-02-11;Phase de poules;Sagrada Esperan�a;Domicile;S. Benyachou;Remp.;22;;;
2021/22;2022-02-11;Phase de poules;Sagrada Esperan�a;Domicile;M. Chrachem;Remp.;8;;;
2021/22;2022-02-11;Phase de poules;Sagrada Esperan�a;Domicile;J. Tsoumou;Remp.;14;;1;
2021/22;2022-02-19;Phase de poules;Petro Luanda;Extérieur;A. R. Tagnaouti;Tit.;90;;;
2021/22;2022-02-19;Phase de poules;Petro Luanda;Extérieur;Y. Attiatallah;Tit.;90;;;
2021/22;2022-02-19;Phase de poules;Petro Luanda;Extérieur;C.I. Comara;Tit.;46;;;
2021/22;2022-02-19;Phase de poules;Petro Luanda;Extérieur;A. Dari;Tit.;90;;;
2021/22;2022-02-19;Phase de poules;Petro Luanda;Extérieur;J. Daoudi;Tit.;90;1;1;
2021/22;2022-02-19;Phase de poules;Petro Luanda;Extérieur;Y. Jabrane;Tit.;90;;1;
2021/22;2022-02-19;Phase de poules;Petro Luanda;Extérieur;A. Serrhat;Tit.;74;;;
2021/22;2022-02-19;Phase de poules;Petro Luanda;Extérieur;R. Jaadi;Tit.;60;;1;
2021/22;2022-02-19;Phase de poules;Petro Luanda;Extérieur;M. Ellafi;Tit.;46;;;
2021/22;2022-02-19;Phase de poules;Petro Luanda;Extérieur;G. Mbenza;Tit.;90;;;
2021/22;2022-02-19;Phase de poules;Petro Luanda;Extérieur;S. Benyachou;Tit.;74;;;
2021/22;2022-02-19;Phase de poules;Petro Luanda;Extérieur;A. El Hassouni;Remp.;44;;;
2021/22;2022-02-19;Phase de poules;Petro Luanda;Extérieur;A. Farhane;Remp.;44;;1;
2021/22;2022-02-19;Phase de poules;Petro Luanda;Extérieur;H. Ait Allal;Remp.;30;;;
2021/22;2022-02-19;Phase de poules;Petro Luanda;Extérieur;M. Chrachem;Remp.;16;;;
2021/22;2022-02-19;Phase de poules;Petro Luanda;Extérieur;J. Tsoumou;Remp.;16;;;
2021/22;2022-02-26;Phase de poules;Zamalek;Domicile;A. R. Tagnaouti;Tit.;90;;;
2021/22;2022-02-26;Phase de poules;Zamalek;Domicile;A. El Amloud;Tit.;90;;;
2021/22;2022-02-26;Phase de poules;Zamalek;Domicile;A. Dari;Tit.;90;;;
2021/22;2022-02-26;Phase de poules;Zamalek;Domicile;A. Farhane;Tit.;90;1;;
2021/22;2022-02-26;Phase de poules;Zamalek;Domicile;Y. Attiatallah;Tit.;90;;;
2021/22;2022-02-26;Phase de poules;Zamalek;Domicile;Y. Jabrane;Tit.;90;1;;
2021/22;2022-02-26;Phase de poules;Zamalek;Domicile;J. Daoudi;Tit.;90;;;
2021/22;2022-02-26;Phase de poules;Zamalek;Domicile;Z. El-Moutaraji;Tit.;68;1;;
2021/22;2022-02-26;Phase de poules;Zamalek;Domicile;A. El Hassouni;Tit.;90;;1;
2021/22;2022-02-26;Phase de poules;Zamalek;Domicile;R. Jaadi;Tit.;89;;;
2021/22;2022-02-26;Phase de poules;Zamalek;Domicile;G. Mbenza;Tit.;74;;;
2021/22;2022-02-26;Phase de poules;Zamalek;Domicile;A. Serrhat;Remp.;89;;;
2021/22;2022-02-26;Phase de poules;Zamalek;Domicile;M. Ellafi;Remp.;22;;;
2021/22;2022-02-26;Phase de poules;Zamalek;Domicile;J. Tsoumou;Remp.;16;;1;
2021/22;2022-03-11;Phase de poules;Zamalek;Extérieur;A. R. Tagnaouti;Tit.;90;;1;
2021/22;2022-03-11;Phase de poules;Zamalek;Extérieur;Y. Attiatallah;Tit.;90;;;
2021/22;2022-03-11;Phase de poules;Zamalek;Extérieur;A. Farhane;Tit.;90;;;
2021/22;2022-03-11;Phase de poules;Zamalek;Extérieur;A. Dari;Tit.;90;;;
2021/22;2022-03-11;Phase de poules;Zamalek;Extérieur;A. El Amloud;Tit.;90;;;
2021/22;2022-03-11;Phase de poules;Zamalek;Extérieur;J. Daoudi;Tit.;89;;1;
2021/22;2022-03-11;Phase de poules;Zamalek;Extérieur;Y. Jabrane;Tit.;90;1;1;
2021/22;2022-03-11;Phase de poules;Zamalek;Extérieur;R. Jaadi;Tit.;90;;;
2021/22;2022-03-11;Phase de poules;Zamalek;Extérieur;A. El Hassouni;Tit.;84;;1;
2021/22;2022-03-11;Phase de poules;Zamalek;Extérieur;Z. El-Moutaraji;Tit.;63;;;
2021/22;2022-03-11;Phase de poules;Zamalek;Extérieur;G. Mbenza;Tit.;63;;;
