Saison;DateMatch;Journee;Equipe;Competition;Lieu;Score
1967-68;;;Tihad Athletic Sport;Championnat;Domicile;0-0
1967-68;;;Fath Union Sport;Championnat;Domicile;2-0
1967-68;;;Raja Beni Mellal;Championnat;Domicile;2-4
1967-68;;;Kawkab Athletic Club de Marrakech;Championnat;Domicile;1-0
1967-68;;;AS Barid Mohammedi de Rabat;Championnat;Domicile;2-0
1967-68;;;Hassania Union Sport Agadir;Championnat;Domicile;2-0
1967-68;;;Difaa Hassani Jadidi;Championnat;Exterieur;2-2
1967-68;;;Maghreb Association Sportive;Championnat;Exterieur;3-0
1967-68;;;Stade Marocain;Championnat;Exterieur;1-1
1967-68;;;Association des Douanes Marocaines;Championnat;Exterieur;0-0
1967-68;;;Tihad Athletic Sport;Championnat;Exterieur;1-0
1967-68;;;Fath Union Sport;Championnat;Exterieur;2-0
1967-68;;;Raja Beni Mellal;Championnat;Exterieur;0-1
1967-68;;;Kawkab Athletic Club de Marrakech;Championnat;Exterieur;0-1
1967-68;;;AS Barid Mohammedi de Rabat;Championnat;Exterieur;0-2
1967-68;;;Hassania Union Sport Agadir;Championnat;Exterieur;2-1
1968-69;;;Maghreb Association Sportive;Championnat;Domicile;0-0
1968-69;;;AS Forces Armees Royales;Championnat;Domicile;1-0
1968-69;;;Fath Union Sport;Championnat;Domicile;2-2
1968-69;;;Sporting Club Chabab de Mohammedia;Championnat;Domicile;2-0
1968-69;;;Mouloudia Club Oujda;Championnat;Domicile;2-1
1968-69;;;Union Sidi Kacem;Championnat;Domicile;2-0
1968-69;;;Kenitra Athletic Club;Championnat;Domicile;1-0
1968-69;;;Renaissance Sportive de Settat;Championnat;Domicile;4-1
1968-69;;;Association des Douanes Marocaines;Championnat;Domicile;2-1
1968-69;;;Difaa Hassani Jadidi;Championnat;Domicile;2-1
1968-69;;;Tihad Athletic Sport;Championnat;Domicile;2-0
1968-69;;;Raja Club Athletic;Championnat;Domicile;1-0
1968-69;;;Etoile Jeunesse Sportive Casablanca;Championnat;Domicile;1-1
1968-69;;;Stade Marocain;Championnat;Domicile;1-0
1968-69;;;Club Omnisport de Meknes;Championnat;Domicile;0-0
1968-69;;;Maghreb Association Sportive;Championnat;Exterieur;0-0
1968-69;;;AS Forces Armees Royales;Championnat;Exterieur;1-1
1968-69;;;Fath Union Sport;Championnat;Exterieur;2-1
1968-69;;;Sporting Club Chabab de Mohammedia;Championnat;Exterieur;1-0
1968-69;;;Mouloudia Club Oujda;Championnat;Exterieur;0-2
1968-69;;;Union Sidi Kacem;Championnat;Exterieur;1-1
1968-69;;;Kenitra Athletic Club;Championnat;Exterieur;0-1
1968-69;;;Renaissance Sportive de Settat;Championnat;Exterieur;1-1
1968-69;;;Association des Douanes Marocaines;Championnat;Exterieur;0-1
